epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.21118567883968353	0.048501547425985336	0.21941062343305828	0.1852349042892456	0.08046702295541763	0.20355156294613744
20.0	0.2720358073711395	0.06450417637825012	0.2834557158779261	0.231543630361557	0.10422387719154358	0.2581867672556996
30.0	0.29798659682273865	0.06922208517789841	0.3016712755761329	0.2525726854801178	0.11080874502658844	0.27597659804676467
40.0	0.2917225956916809	0.06494306772947311	0.29655612476060944	0.2612975537776947	0.11710914224386215	0.2814845942259171
50.0	0.2876957952976227	0.06535115838050842	0.29743272084266564	0.25749439001083374	0.1135706752538681	0.28094112259392184
60.0	0.2845637798309326	0.06412526220083237	0.2969365578287584	0.24899329245090485	0.11088033020496368	0.27619011309197317
70.0	0.27829980850219727	0.061242420226335526	0.29240099056445695	0.24563759565353394	0.10665939748287201	0.2722054464869032
80.0	0.2791946232318878	0.06132691726088524	0.2877496704589409	0.23982104659080505	0.10596653819084167	0.2647969998076362
90.0	0.2684563994407654	0.0604112483561039	0.2822995778151661	0.23914989829063416	0.10492324084043503	0.26468278624320923
100.0	0.26442956924438477	0.05836107209324837	0.2765055546246335	0.23668904602527618	0.10236793011426926	0.260282708778963
110.0	0.25950783491134644	0.057884544134140015	0.27016317925719446	0.23847874999046326	0.10353037714958191	0.2592199629461154
120.0	0.2554810047149658	0.05594858527183533	0.26573300632602254	0.23579418659210205	0.10362961143255234	0.25595650921502583
130.0	0.2666666805744171	0.05863359943032265	0.27392991125963845	0.23199106752872467	0.10282962024211884	0.25457932322291904
