epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.25682327151298523	0.05980712175369263	0.2716064949678103	0.2295302003622055	0.10425163060426712	0.25513244886699654
20.0	0.3055928647518158	0.0726163312792778	0.3144032993182292	0.2639821171760559	0.12020242214202881	0.29156996077051966
30.0	0.31051456928253174	0.07316762953996658	0.32533607527072594	0.27270692586898804	0.12548398971557617	0.3035037395250429
40.0	0.31856825947761536	0.07466154545545578	0.327850812267671	0.2778523564338684	0.12753699719905853	0.3053658422942257
50.0	0.31588369607925415	0.07472849637269974	0.32706739078153024	0.27561521530151367	0.12703284621238708	0.30433595138068426
60.0	0.3082773983478546	0.07398560643196106	0.3202832341915627	0.2798657715320587	0.12819965183734894	0.3057493118766043
70.0	0.3140939772129059	0.07315108180046082	0.3250101013145624	0.28143176436424255	0.1276974231004715	0.3073877082118493
80.0	0.309619665145874	0.07318606972694397	0.3208129987448348	0.27740493416786194	0.12672284245491028	0.3036678767136516
90.0	0.3181208074092865	0.07466740906238556	0.3246696743244867	0.27225950360298157	0.12416853755712509	0.2990194889543291
100.0	0.3109619915485382	0.07196103036403656	0.3211025871440137	0.27136465907096863	0.12273172289133072	0.29888030385256886
110.0	0.3051454424858093	0.07179529964923859	0.3118169068260852	0.27136465907096863	0.12347299605607986	0.29496783337174937
120.0	0.29798659682273865	0.07045743614435196	0.30651425104390106	0.26442950963974	0.12041396647691727	0.2891220093209803
130.0	0.29530200362205505	0.0693604126572609	0.30700918249915016	0.268456369638443	0.12289835512638092	0.29330419741242425
140.0	0.29664430022239685	0.06960660964250565	0.3086262924949882	0.27002236247062683	0.12257078289985657	0.2951532379287293
150.0	0.2957494258880615	0.07103653252124786	0.3051418814503186	0.26689037680625916	0.1219446212053299	0.29072365729659155
