epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.22416110336780548	0.04836059734225273	0.22856214834260902	0.20067113637924194	0.08513988554477692	0.21602042155086332
20.0	0.2778523862361908	0.060667481273412704	0.2925180172615906	0.2454138845205307	0.10796570032835007	0.2716295119441698
30.0	0.29530200362205505	0.06605634093284607	0.3107700810179668	0.2480984479188919	0.1092388853430748	0.2799264652760357
40.0	0.28948545455932617	0.0647532269358635	0.30264326126568103	0.25033557415008545	0.11096931993961334	0.2785986600166778
50.0	0.28143176436424255	0.0625012144446373	0.29080159913232506	0.24653242528438568	0.10905460268259048	0.2703096223256177
60.0	0.27695751190185547	0.06262019276618958	0.2863530582372405	0.2427293062210083	0.10635639727115631	0.26654565876535397
70.0	0.27069351077079773	0.05977119505405426	0.28231757456181955	0.23982101678848267	0.10431942343711853	0.2640665924233063
80.0	0.2657718062400818	0.05903170257806778	0.2798454872884454	0.2387024611234665	0.1038489118218422	0.26346458609641454
90.0	0.2626398205757141	0.05804101750254631	0.2772116834659987	0.23825503885746002	0.10249057412147522	0.26192251337242495
100.0	0.2626398503780365	0.057056915014982224	0.276330290753865	0.2308724820613861	0.09734045714139938	0.2558987727912857
110.0	0.2639821469783783	0.05725913122296333	0.27348881241162465	0.23109620809555054	0.09856073558330536	0.25347990742064025
120.0	0.2604026794433594	0.05675306171178818	0.27217284337911074	0.22975391149520874	0.09831786900758743	0.25346262615026194
130.0	0.2527964413166046	0.053769342601299286	0.262588235060397	0.2288590669631958	0.0976378321647644	0.24867284725571712
