,url,电影名称,别名,全部名称,电影评分,评分人数,导演,编剧,主演,上映年份,首映日期,国家,语言,片长raw,片长,季数,集数,单集片长raw,单集片长,类型,剧情简介
0,https://movie.douban.com/subject/1308573/,卡拉是条狗,"Cala, My Dog!","卡拉是条狗 / Cala, My Dog!",7.4,61565,路学长,路学长,葛优 / 丁嘉丽 / 李滨 / 夏雨 / 李勤勤 / 李佳璇,2003,2003-02-02(中国大陆),中国大陆,汉语普通话,100分钟,100,,,,,剧情 / 喜剧,卡拉虽说是一条杂种狗，老二（葛优 饰）却十分爱惜它，在老二心中，为了生活他处处要讨人欢喜，只有卡拉才会想办法讨他高兴。但是老二的运气却糟糕透顶——他妻子玉兰遛狗的时候，警察因为卡拉无证，把它抓走。要换回卡拉，必须要掏5000块钱办一个养狗证件。 对于卡拉一家，5000块钱需要省吃俭用才能存下，老二决定先跑跑关系。儿子亮亮找来了同学帮忙，因为他的老爸有点手腕。然而人家却不肯帮这个忙。老二急中生智，想起卡拉是老同事杨丽的狗下的崽。他找来杨丽的狗证，却被警察识破。 老二和杨丽费劲周章，各种办法都要不回卡拉，还被玉兰误会二人相好。更糟糕的是，儿子亮亮又犯了事被拉进警察局，一家三口和卡拉竟然以这种方式在警察局相遇……
1,https://movie.douban.com/subject/1292718/,大河恋 A River Runs Through It,川流岁月(港) / 大河之恋 / 一条贯穿的大河 / 一条奔腾而过的河流,大河恋 A River Runs Through It / 川流岁月(港) / 大河之恋 / 一条贯穿的大河 / 一条奔腾而过的河流,8.5,75553,罗伯特·雷德福,理查德·弗雷登伯格 / 诺曼·麦克林恩,克莱格·谢佛 / 布拉德·皮特 / 汤姆·斯凯里特 / 布兰达·布莱斯 / 艾米丽·劳伊德 / 伊迪·麦克勒格 / 斯蒂芬·谢伦 / 妮科尔·伯德特 / 苏珊·特雷勒 / 迈克尔·库立兹 / 罗布·考克斯 / 弗雷德·奥克兰 / 麦金太尔·狄克逊 / 威廉·胡特金斯 / 杰斯·施维德 / 约瑟夫·高登-莱维特 / 罗伯特·雷德福,1992,1992-10-09(美国),美国,英语,123分钟,123,,,,,剧情 / 家庭,两兄弟经常跟父亲一起钓鱼。潺潺河水，静静午后，成了父子间最难忘的时刻。父亲是一个老牧师，常常在镇上布道，大儿子诺曼（克莱格•谢佛 Craig Sheffer 饰）正是继承了父亲的事业——他擅长讲课，大学毕业后回到家乡传道授业。小儿子保罗（布拉德•皮特 Brad Pitt 饰）却有着迥异的性格——他热爱自由，有一套奇特的钓鱼方法。然而，令人担心的是他迷上了赌博，并因此欠钱遭打。 诺曼结婚后收到一封芝加哥大学的聘用书，他离家前往芝加哥之前，和父亲、弟弟一同在大河边再次享受钓鱼时光。他劝保罗跟他一起离开这里，然而保罗痴迷钓鱼，不愿离去。怎料，这竟是最后的相聚。
2,https://movie.douban.com/subject/1308111/,钟无艳 鍾無艷,Chung mo yim / Wu Yen,钟无艳 鍾無艷 / Chung mo yim / Wu Yen,7.0,103818,杜琪峰 / 韦家辉,黄劲辉 / 韦家辉 / 游乃海,郑秀文 / 梅艳芳 / 张柏芝 / 黄浩然 / 林雪 / 王天林 / 许绍雄,2001,2001-01-18(中国香港),中国香港,粤语,123分钟,123,,,,,喜剧 / 奇幻 / 古装,春秋战国时期，一向昏庸好色的齐宣王（梅艳芳饰）误闯夜叉山，碰上了美丽的寨主钟无艳（郑秀文饰），齐宣王决定把钟无艳娶为皇后，可是一直倾心于钟无艳的“狐狸精”（张柏芝饰）出手阻挠，只要钟无艳爱上其他的人，脸上便会无缘无故多出一块难看的红斑。狐狸精后来化身夏迎春勾引齐宣王，齐宣王终日沉醉温柔乡。而钟无艳为了夫君出生入死、南征北战。齐宣王只会有事求助于钟无艳时才好言相向。齐宣王十分好赌，竟然把钟无艳作为作为筹码输掉了，钟无艳愤怒离开，脸上红斑也自然消失。夏迎春得逞后也离开了皇宫，齐宣王才发现自己最爱为何人，浪子回头。在受到叛徒攻击时，还是爱着齐宣王的钟无艳，赶到了皇宫，帮忙驱走外敌……
3,https://movie.douban.com/subject/1308699/,绿茶,Green Tea,绿茶 / Green Tea,6.3,38450,张元,唐大年 / 张元 / 金仁顺,赵薇 Wei Zhao / 姜文 / 王海珍 / 方力钧 / 张元,2003,2003-08-18(中国大陆),中国大陆,汉语普通话,83 分钟,83,,,,,剧情 / 爱情,不停相亲的比较文学专业女硕士吴芳（赵薇）每次和相亲对象约会时都会点一杯绿茶，在与新的相亲对象陈明亮（姜文）约会时，她告诉对方点绿茶的原因是曾被一名叫朗朗（赵薇）的女孩告知，从一杯茶可以预测一个人的爱情，对此，自信对女人很有研究的陈明亮认为纯属胡说八道，开始向吴芳分析说女人不外乎森林型和罗马型两种。 带着各自对爱情的理解，吴芳和陈明亮开始了爱情角逐游戏。而随着两人的交往，朗朗也逐渐浮出水面，与刻板老土的吴芳形成对比的是，朗朗有着万众风情，然而陈明亮总觉得，她俩其实是一个人。
4,https://movie.douban.com/subject/3078609/,爱情与灵药 Love & Other Drugs,爱情药不药(台) / 爱情恋上瘾(港) / 爱情小药丸 / 就药爱你 / 爱上医药代表 / 爱以及其他上瘾的药,爱情与灵药 Love & Other Drugs / 爱情药不药(台) / 爱情恋上瘾(港) / 爱情小药丸 / 就药爱你 / 爱上医药代表 / 爱以及其他上瘾的药,7.2,222626,爱德华·兹威克,查尔斯·伦道夫 / 爱德华·兹威克 / 詹米·雷迪 / 马歇尔·赫斯科维兹,安妮·海瑟薇 / 杰克·吉伦哈尔 / 朱迪·格雷尔 / 汉克·阿扎利亚 / 乔什·加德 / 奥利弗·普莱特 / 盖布瑞·马赫特 / 乔治·席格 / 吉尔·克雷伯格 / 凯特·詹宁斯·格兰特 / 凯瑟琳·温妮克,2010,2010-11-24(美国),美国,英语,113分钟,113,,,,,剧情 / 喜剧 / 爱情,杰米（杰克•吉伦哈尔 Jake Gyllenhaal 饰）出身医药世家，舌灿莲花，热情似火，是电器行的金牌销售，不过由于桃花运太壮，以至于因为跟女同事在工作时间亲热，被老板开除。此后，他在辉瑞公司连番洗脑后，成为了一名医药销售代表。为了能打开区域市场，他摸清了某医院的底细，决定从主治医师斯坦下手。他用1千美元的支票，换取了一个实习生的身份，穿梭于诊室。某日，他偶然间邂逅了因帕金森症就诊的女患者玛姬（安妮•海瑟薇 Anne Hathaway 饰），并阴差阳错瞥见了她的乳房。正当花花公子以为占了便宜时，却被玛姬抡包打伤，甚至还拍了照片。为了讨回声誉，他利用关系要到了对方号码，并约她面谈。没想到这次约会，却让两人陷入了匪夷所思的亲密关系之中，令他难以自拔。正当杰米因伟哥成为销售红人时，玛姬的病患却每况愈下……
5,https://movie.douban.com/subject/1292270/,梦之安魂曲 Requiem for a Dream,噩梦挽歌(台) / 迷上瘾(港) / 梦的挽歌,梦之安魂曲 Requiem for a Dream / 噩梦挽歌(台) / 迷上瘾(港) / 梦的挽歌,8.8,197261,达伦·阿伦诺夫斯基,小胡伯特·塞尔比 / 达伦·阿伦诺夫斯基,艾伦·伯斯汀 / 杰瑞德·莱托 / 詹妮弗·康纳利 / 马龙·韦恩斯 / 克里斯托弗·麦克唐纳 / 露易丝·拉塞尔 / 玛西娅·让·库尔茨 / 珍妮特·萨诺 / 苏珊妮·谢泼德 / 夏洛特·阿罗诺夫斯基 / 马克·马戈利斯 / 迈克尔·卡切克 / 杰克·奥康耐 / 斯科特·富兰克林 / 亚伯拉罕·阿罗诺夫斯基 / 欧嘉·梅雷迪斯 / 本·申克曼 / 凯斯·大卫 / 迪伦·贝克 / 肖恩·奥哈根 / 比尔·布尔 / 吉米·雷·威克斯 / 斯坦利·B·赫尔曼,2000,2000-05-14(戛纳电影节) / 2000-12-15(美国),美国,英语,102分钟,102,,,,,剧情,哈瑞（杰瑞德·莱托 Jared Leto 饰）和玛丽安（詹妮弗·康纳利 Jennifer Connelly 饰）彼此相爱，梦想着开个服装店，梦想着有个美好的明天。然而他们都离不开毒品，并想着以销毒赚得第一桶金。哈瑞的母亲是个彻底的电视迷，最大的梦想是上电视，为此不顾年迈吞食减肥药。由于药品里的毒品成分，她渐渐上了瘾。哈瑞的朋友狄龙（马龙·韦恩斯 Marlon Wayans 饰）同样是个瘾君子，为了挣大钱加入了黑社会。为了梦想，他们努力着，却一步步深陷毒品难以自拔。 哈瑞的胳膊因注射毒品感染而被割去；玛丽安为了毒品出卖肉体和自尊；哈瑞的母亲最终住进了精神病院受尽折磨；狄龙锒铛入狱。当视线变得模糊，梦在遥远处呼唤，迷失的人该以怎样的姿态安抚自己的灵魂。
6,https://movie.douban.com/subject/1300868/,异形 Alien,异形杀手 / Star Beast,异形 Alien / 异形杀手 / Star Beast,8.3,248548,雷德利·斯科特,丹·欧班农 / 罗纳德·舒塞特,西格妮·韦弗 / 汤姆·斯凯里特 / 维罗尼卡·卡维特 / 哈利·戴恩·斯坦通 / 约翰·赫特 / 伊安·霍姆 / 亚非特·科托 / 博拉吉·巴迪乔 / 海伦·霍顿,1979,1979-05-25(美国),英国 / 美国,英语,117分钟,117,,,,,科幻 / 惊悚 / 恐怖,未来的世界，人类已能轻松穿梭于星际之间，在太空中展开商业活动。“诺史莫”是在太空活动的众多星际商业运输船之一。一次，它完成任务满载太空矿石返航地球时，突然收到了一组奇怪的信号，由于这可能是求救信号，飞船接到指令前往信号源地进行搜救。 经过一段飞行后，飞船终于抵达信号源发出的地方。船员们发现此处果然有一艘坠毁的飞船，只是，经过一番搜索，他们发现该船的船员们都早已死亡，化为化石。此时，留在“诺史莫”号的第三指挥官里普利已经破译出该信号并不是求救信号，而是警告信号！队员的生死搏斗开始了！
7,https://movie.douban.com/subject/1474189/,电锯惊魂3 Saw III,夺魂锯3(台) / 恐惧斗室3死神在齿(港) / 你死我活3 / 链锯惊魂3,电锯惊魂3 Saw III / 夺魂锯3(台) / 恐惧斗室3死神在齿(港) / 你死我活3 / 链锯惊魂3,8.1,174030,达伦·林恩·鲍斯曼,雷·沃纳尔 / 温子仁,托宾·贝尔 / 肖妮·史密斯 / 安古斯·麦克菲登 / 巴哈·索莫克 / 唐尼·沃尔伯格 / 迪娜·迈耶 / 雷·沃纳尔 / 姆波·可霍 / 贝瑞·弗莱特曼 / 雷瑞克·本特 / J·拉罗斯 / 黛布拉·麦凯布 / 科斯塔斯·曼迪勒 / 贝茜·拉塞尔 / 妮娅姆·威尔逊 / 艾伦·范·斯普朗 / 金·罗伯特,2006,2006-10-27(美国),美国 / 加拿大,英语,108分钟,108,,,,,悬疑 / 惊悚 / 恐怖,“竖锯”（托宾·贝尔 Tobin Bell 饰）和新学徒阿曼达一起失踪，警方四处搜索，满城阴云密布。 一天夜里，刚值完晚班的女医生莲恩·戴伦（巴哈·索莫克 Bahar Soomekh 饰）惨遭绑架，醒来时惊恐万分的莲恩，发现自己被捆绑在一间废弃的空屋里，同屋的还有另一名倒霉受害者杰夫（安古斯·麦克菲登 Angus Macfadyen 饰）。此时“竖锯 ”已卧床不起、奄奄一息，莲恩被告知除非她能在死亡游戏完成前保住这个疯子的性命，否则她和杰夫必死无疑！ 为了活下去，神经高度紧张、备受煎熬的莲恩想尽办法让“竖锯”保住最后的呼吸。然而她却怎么也想不到，杀人狂暗地里有着更可怕的杀人计划--那将会是恶名彰著的“竖锯”绞尽心血的死前华彩！最后的终极死亡游戏即将开始……
8,https://movie.douban.com/subject/2369549/,公众之敌 Public Enemies,头号公敌(台) / 大犯罪家(港) / 一号公敌 / 公敌,公众之敌 Public Enemies / 头号公敌(台) / 大犯罪家(港) / 一号公敌 / 公敌,7.4,66296,迈克尔·曼,迈克尔·曼 / 安·白德曼 / 布赖恩·布罗,约翰尼·德普 / 克里斯蒂安·贝尔 / 玛丽昂·歌迪亚 / 比利·克鲁德普 / 吉奥瓦尼·瑞比西 / 查宁·塔图姆 / 斯蒂芬·多尔夫 / 凯瑞·穆里根,2009,2009-06-18(芝加哥首映),美国 / 日本,英语,140分钟,140,,,,,剧情 / 传记 / 历史 / 犯罪,本片改编自真实事件。1933年，江洋大盗约翰•迪林格（约翰尼•德普 Johnny Depp 饰）与同伙约翰•汉密尔顿（杰森•克拉克 Jason Clark 饰）持械劫狱，从印第安纳州监狱中成功救出抢劫团伙成员，包括“漂亮男孩”弗洛伊德（查宁•塔图 Channing Tatum 饰），“娃娃脸”尼尔森（斯蒂芬•格拉汉姆 Stephen Granham 饰）等，并藏身腐败警察马丁（约翰•迈克•鲍格 John Michael Bolger 饰）的农宅。马丁说服迪林格藏身芝加哥，寻求黑帮保护。在一系列银行抢劫活动中，迪林格爱上了芝加哥女职员比莉•弗雷凯特（玛丽昂•歌迪亚 Marion Cotillard 饰）。与此同时，联邦调查局探员茂文•普维斯（克里斯蒂安•贝尔 Christian Bale 饰）被上司胡佛局长（比利•克鲁德普 Billy Crudup 饰）提升，在美国第一次“打击犯罪战”中誓将迪林格捉拿归案。行动中，随着迪林格的势败，联邦调查局却日益壮大……
9,https://movie.douban.com/subject/2032236/,美少女战士 美少女戦士セーラームーン,美少女战士第一季 / 美少女战士初代 / 美少女战士Sailor Moon / Pretty Guardian Sailor Moon / Pretty Soldier Sailor Moon,美少女战士 美少女戦士セーラームーン / 美少女战士第一季 / 美少女战士初代 / 美少女战士Sailor Moon / Pretty Guardian Sailor Moon / Pretty Soldier Sailor Moon,8.7,64150,佐藤顺一 / 几原邦彦 / 宇田钢之助 / 五十岚卓哉 / 竹之内和久 / 小坂春女 / 又野弘道,武内直子 / 富田祐弘 / 柳川茂 / 隅泽克之,三石琴乃 / 久川绫 / 富泽美智惠 / 筱原惠美 / 深见梨加 / 古谷彻 / 潘惠子 / 荒木香惠 / 小野坂昌也 / 森功至 / 难波圭一 / 曾我部和行 / 高木早苗 / 佐藤宽子,1992,1997-06-01(中国大陆) / 1992-03-07(日本),日本,日语,,,,46,30分钟,30,喜剧 / 动作 / 爱情 / 动画 / 惊悚 / 奇幻,美丽可爱的月野兔（三石琴乃 配音）是一名正救读初中的女孩，她学业平平，任性娇弱，俨然是生活在大都会普普通通的女孩子们中的平凡一员。可是，在遇到了那只会说话的小猫露娜之后，月野的人生发生天翻地覆的变化。她不仅可以变身成为拥有神奇能力的水手月亮，还渐渐知晓了自己前世今生的秘密。为了保卫地球，挫败黑暗帝国的野心，月野和水野亚美（久川绫 配音）、火野丽（富泽美智惠 配音）、木野真琴（篠原惠美 配音）、爱野美奈子（深见梨加 配音）等人结成美少女战士，与罪恶展开了连番激战，在此过程中，她与命中注定的爱人地场卫（古谷彻 配音）的浪漫恋情也悄然上演…… 本片根据漫画家武内直子的经典同名原著改编。
