,url,电影名称,别名,全部名称,电影评分,评分人数,导演,编剧,主演,上映年份,首映日期,国家,语言,片长raw,片长,季数,集数,单集片长raw,单集片长,类型,剧情简介
0,https://movie.douban.com/subject/1468154/,春田花花同学会 春田花花同學會,"麦兜故事3 / 春田花花幼稚园 / McDull, the Alumni","春田花花同学会 春田花花同學會 / 麦兜故事3 / 春田花花幼稚园 / McDull, the Alumni",6.2,42328,赵良骏,谢立文,周笔畅 / 陈慧琳 / 郑中基 / 梁咏琪 / 吴君如 / 黄秋生 / 曾志伟 / 陈柏霖 / 何超仪 / 张靓颖 / 池珍熙 / 房祖名 / 吴镇宇 / 余文乐 / 吴彦祖 / 林海峰 / 谢霆锋 / 张达明 / 苗侨伟 / 刘以达 / 方力申 / 梁洛施 / 詹瑞文 / 林一峰 / 尹子维,2006,2006-01-26(中国大陆) / 2006-01-22(中国香港),中国香港,粤语,95 分钟,95,,,,,喜剧 / 动画 / 奇幻,本片是《麦兜故事》系列的第三部，由现实和动画两部分故事组成。 现实部分的故事开始于一次“人质挟持事件”，一群持枪匪徒闯入香港中环的国际金融中心（IFC），劫持了一家广告公司的数十名职员，在和警方对峙的关键时刻，匪徒提出要吃外卖盒饭，警方进一步调查发现此案线索涉及“春田花花幼儿园建校五十周年校庆”，而匪徒在与广告公司职员交谈时，发现某个直发披肩女孩（周笔畅）来自著名而神秘的网站春田花花幼儿园，产生好奇。而穿插在现实部分里的动画故事，春田花花幼儿园的小朋友幻想着自己将来快乐简单的理想职业生活，可是长大的他们（黄秋生、郑中基、梁咏琪等），换取温饱的方式多数变成了目标不分的随大流装傻。
1,https://movie.douban.com/subject/3120852/,影子写手 The Ghost Writer,影子灭杀令(港) / 猎杀幽灵写手(台) / 捉刀手 / 枪手 / 代笔作家 / 幽灵写手 / The Ghost,影子写手 The Ghost Writer / 影子灭杀令(港) / 猎杀幽灵写手(台) / 捉刀手 / 枪手 / 代笔作家 / 幽灵写手 / The Ghost,7.5,65538,罗曼·波兰斯基,罗伯特·哈里斯,伊万·麦克格雷格 / 皮尔斯·布鲁斯南 / 奥莉维亚·威廉姆斯 / 金·凯特罗尔 / 汤姆·威尔金森 / 蒂莫西·赫顿 / 安娜·鲍丁 / 乔·博恩瑟,2010,2010-02-12(柏林电影节) / 2010-02-18(德国),法国 / 德国 / 英国,英语,128分钟,128,,,,,剧情 / 悬疑 / 惊悚,他（伊万·麦格雷戈 Ewan Gordon McGregor 饰）是一个影子写手，一如其代号“Ghost（鬼魂）”一般，他深深躲在幕后，为各行各业的名流捉刀撰写回忆录。一日，鬼魂接到一项新的任务，即帮助前英国首相亚当·朗（皮尔斯·布鲁斯南 Pierce Brosnan 饰）的回忆录作润饰工作。此前，该书由亚当·朗在任期间的助手迈克·麦卡拉负责，然而麦卡拉却神秘自杀。看在丰厚报酬的份上，鬼魂接受了这项工作。在写书过程中，亚当受到战争罪的指控，政治风暴近在咫尺。而鬼魂也开始有意探知亚当不为人知的过去以及麦卡拉死亡的原因，却不知此举将他引入险途…… 本片改编自罗伯特·哈里斯（Robert Harris）的小说《枪手》，并荣获2010年柏林国际电影节银熊奖最佳导演奖。
2,https://movie.douban.com/subject/1309160/,机械师 The Machinist,迷魂杀阵 / 克里斯汀贝尔之黑暗时刻,机械师 The Machinist / 迷魂杀阵 / 克里斯汀贝尔之黑暗时刻,7.6,112146,布拉德·安德森,斯科特·考萨,克里斯蒂安·贝尔 / 詹妮弗·杰森·李 / 艾塔娜·桑切斯-希洪 / 约翰·沙拉恩 / 迈克尔·艾恩塞德 / 小拉里·吉拉德 / 雷格·E·凯蒂 / 安娜·玛西 / 马修·罗梅罗·摩尔 / 罗伯特·朗 / 科林·斯廷顿 / 克雷格·史蒂文森 / 弗兰·拉奥斯,2004,2004-01-18(圣丹斯电影节) / 2004-12-03(美国) / 2004-12-17(西班牙),西班牙 / 法国 / 英国 / 美国,英语 / 西班牙语,101分钟,101,,,,,剧情 / 悬疑 / 惊悚,特拉沃（克里斯汀•贝尔 Christian Bale 饰）是一个机械师，他的工作内容繁忙机械，日复一日，令他日渐消瘦，连睡眠都出现了严重的问题。长达一年里，特拉沃成为了无法睡眠的怪人。怪事也从此陆续发生：他在公寓里面发现了一张神秘纸条；总是感觉有一个共事的工友，在一次意外中工友失去了一只手，所有的同事都把这个意外归咎于特拉沃，令特拉沃众叛亲离，唯有身边当应召女郎的女友一直在支持自己。然而，事实又好像并不是这样，那张纸条，那个工友，似乎都不是现实的事情，特拉沃陷入了巨大的谜团当中。
3,https://movie.douban.com/subject/1875313/,梦想照进现实,Dreams May Come,梦想照进现实 / Dreams May Come,6.6,17942,徐静蕾,王朔,徐静蕾 / 韩童生 / 贺鹏 / 孙少华,2006,2006-06-30(中国大陆),中国大陆,汉语普通话,101分钟,101,,,,,剧情 / 爱情,某部正在拍摄中的电视剧的女主角（徐静蕾）深夜短信该剧导演（韩童生），称有事想面谈，见面寒暄完毕，她即提出罢演，原因是实在恶心剧本中的女主人公形象演不下去，导演好言相劝，说该形象本是为她量身打造、要以大局为重等等，无奈女主角铁心罢工，导演作罢。 导演称当初接戏相当被动，女主角的辞演让他如释重负，得到女主角讥讽，导演暴跳如雷，两人开始争执，导演怪女主角歪曲事实，女主角嫌导演做人太假。最终，话题又回到剧本，围绕它，两人就做人的技巧、人生的困惑、现实对梦想的凌驾等方面展开辩论。
4,https://movie.douban.com/subject/1292895/,精武英雄,Fist of Legend,精武英雄 / Fist of Legend,8.6,144047,陈嘉上,陈嘉上 / 叶广俭 / 林纪陶,李连杰 / 中山忍 / 钱小豪 / 蔡少芬 / 周比利 / 秦沛 / 仓田保昭 / 袁祥仁 / 楼学贤 / 高桥利道 / 谭淑梅 / 彭子晴 / 张浚鸿 / 李文标 / 林刚 / 麦咏麟 / 黄新 / 卢庆辉 / 刘思乐,1994,1994-12-22(中国香港),中国香港 / 中国大陆,英语 / 粤语 / 日语 / 汉语普通话,107分钟,107,,,,,剧情 / 动作,20年代末，为完成师父的志愿，陈真（李连杰 饰）到东洋学先进技术，他喜欢着日本女孩山田光子（中山忍 饰）。因为师父霍元甲之死，陈真回到中国，协助师父之子霍廷恩（钱小豪 饰）主持精武门的业务，不料却引起了他的妒忌，师兄弟之间引发权力之争。 另一方面，陈真追查师父死因，怀疑是日军 军官藤田刚（周比利 饰）暗中使用慢性毒药杀死霍元甲。陈真请医生验尸，证实师父确系中毒而死。藤田刚恐阴谋败露，杀人嫁祸，展开了连场恶斗。不久，藤田刚挑战精武门，他诱使日本黑龙会总教头船越文夫向精武馆挑战。比武之日，双方开展了一场惊心动魄的决战。
5,https://movie.douban.com/subject/1782142/,对不起，我爱你 미안하다 사랑한다,"对不起我爱你 / Sorry, I love you / I'm Sorry, I Love You / Sorry But I Love You / MiSa","对不起，我爱你 미안하다 사랑한다 / 对不起我爱你 / Sorry, I love you / I'm Sorry, I Love You / Sorry But I Love You / MiSa",8.8,86740,李亨民,李庆熙,苏志燮 / 林秀晶 / 郑敬淏 / 徐智英 / 玉智英 / 崔汝珍 / 李慧英 / 金惠玉 / 申久 / 权慧贞,2004,2004-11-08(韩国),韩国,英语 / 韩语,,,,16,60分钟,60,剧情 / 爱情,韩国男孩武赫（苏志燮 饰）一出生就被父母抛弃了，两岁时被一个澳大利亚家庭收养，因为饱受家庭暴力，他10岁时就离家出走了。街头艺人保罗收养了他，可是当保罗结识了一个浅薄的女人后，武赫再次被抛弃了。武赫一直过着流浪的生活，偷鸡摸狗什么也干过。长大后，武赫遇上了韩国女孩志英（崔茹真 饰），两人虽然深爱对方，可是志英为了钱而最终选择了离开。在志英的婚礼上，武赫为了保护她而身中两枪，其中一颗子弹永远留在了他的头部，这意味着他的生命也来日无多了。武赫返回了祖国，这时他才发现他的父母当年并非因为贫穷才抛弃他，他们一直都生活得十分富足，他弟弟也当上了明星。武赫决意向生母报复，以补偿自己一直以来受到的苦……
6,https://movie.douban.com/subject/1418191/,超人归来 Superman Returns,超人：强战回归(港) / 超人再起(台),超人归来 Superman Returns / 超人：强战回归(港) / 超人再起(台),6.7,80827,布莱恩·辛格,迈克尔·道赫蒂 / 丹·哈里斯 / 布莱恩·辛格 / 杰里·西格尔 / 乔·舒斯特,布兰登·罗斯 / 凯特·波茨沃斯 / 凯文·史派西 / 詹姆斯·麦斯登 / 爱娃·玛丽·森特 / 马龙·白兰度 / 卡尔·潘,2006,2006-07-11(中国大陆) / 2006-06-28(美国),美国 / 澳大利亚,英语 / 德语 / 法语,154 分钟,154,,,,,动作 / 科幻 / 冒险,一直想寻根的超人（Brandon Routh饰）返回了氪星，希望可以找到其他同伴，但那里的一切早已不复存在。而这一去便是5年。 5年后，超人回到了地球，但是周遭的一切已经改变。他发现地球已经习惯了没有超人的保护，他一直爱慕的路易丝（Kate Bosworth饰）因为馔写了一篇“为什么世界不需要超人”的报道而获得普利策大奖。更令他心碎的是，她已经与主编的侄子订婚，而且是一个5岁孩子的母亲了。 另一边，他的死对头莱克斯（Kevin Spacey饰）利用卑鄙手段骗取了巨额遗产，企图卷土重来。在南极莱克斯找到了超人父亲的线索，以及一块含有超级能量的水晶，妄想借助水晶的力量控制地球。 超人能否战胜心魔，再一次挽救地球于水火？
7,https://movie.douban.com/subject/4249355/,孤胆特工 아저씨,杀手代父(港) / 大叔(台) / 叔叔 / 这个大叔不太冷(豆友译名) / The Man From Nowhere,孤胆特工 아저씨 / 杀手代父(港) / 大叔(台) / 叔叔 / 这个大叔不太冷(豆友译名) / The Man From Nowhere,8.2,205561,李桢凡,李桢凡,元斌 / 金赛纶 / 坦纳永·王特拉库 / 金太勋 / 金熙元 / 宋永彰 / 李宗弼 / 金成伍 / 金孝书 / 白秀莲 / 郭度沅 / 洪晓熙,2010,2011-09-16(中国大陆) / 2010-08-04(韩国),韩国,韩语,119分钟(韩国),119,,,,,剧情 / 动作 / 惊悚 / 犯罪,住在小女孩小米（金赛纶 饰）隔壁的当铺大叔（元斌 饰）除过生意之外和邻居们从不来往，颓废的造型以及沉默的性格让人们对于他的身份有诸多怀疑。天真的小米从不理会这些传言，时常造访这位神秘邻居竟然使他俩慢慢的成为朋友。小米的妈妈牵连到黑帮的毒品抢夺之中，最终使自己和小米陷入危险之中。目睹小米和妈妈被人绑架的当铺大叔为了救出小米和妈妈，开始和黑道展开斗争。此时，警方也在着手调查这起案件，当铺大叔元泰锡的真正身份慢慢浮出水面。被摘除所有值钱器官的小米妈妈的尸体在一辆汽车的后备箱里被发现，但是，和她一起失踪的小米却依然下落不明…… 《旅行者》中扮演“真希”的小罗莉金赛纶和换上颓废造型的“花样美男”元斌一起演绎的韩版《这个杀手不太冷》，成为2010年韩国最卖座的电影。
8,https://movie.douban.com/subject/1309184/,恐怖蜡像馆 House of Wax,腊像院魔王 / 蜡之屋,恐怖蜡像馆 House of Wax / 腊像院魔王 / 蜡之屋,7.0,106177,佐米·希尔拉,查德·海斯 / 凯利·海斯 / 查尔斯·贝尔登,伊丽莎·库斯伯特 / 查德·迈克尔·墨瑞 / 布莱恩·范·霍尔特 / 帕丽斯·希尔顿 / 贾德·帕达里克 / 乔恩·亚伯拉罕斯,2005,2005-05-06(美国),美国 / 澳大利亚,英语,113 分钟,113,,,,,惊悚 / 恐怖,几个好友结伴前往观看美国大学美式足球冠军赛，他们在前往比赛地时决定顺便在野外进行一次野营。于是，卡莉（伊丽莎•库斯伯特 Elisha Cuthbert 饰）、佩兹（帕丽斯•希尔顿 Paris Hilton 饰）等几个年轻人在了野外一处荒地扎了营。他们的恐怖经历就此展开。 首先，一名神秘的司机和这群年轻人起了争执，令大家游玩的兴致全无；接着第二天他们起床后发现，他们的汽车被人动了手脚发动不了了。在一名当地人的指引下，他们只能徒步前往附近的偏僻小镇安布罗斯找人帮忙。安布罗斯由于太过偏远，以至地图上根本没有标出它的所在。一行人来到小镇，发现这里人迹罕至。好奇心下，他们走进了镇上的杜蒂蜡像馆，这里的蜡像做得栩栩如生。原来，这是一个杀人狂魔将镇上的人杀了用真人做到蜡像！此时那杀人狂魔正在暗处幽幽的盯着他们……
9,https://movie.douban.com/subject/1307906/,孤男寡女,Needing You ...,孤男寡女 / Needing You ...,7.0,57154,杜琪峰 / 韦家辉,韦家辉 / 游乃海 / 邓洁明,刘德华 / 郑秀文 / 梁艺龄 / 黄浩然 / 许绍雄 / 海俊杰 / 郭少芸 / 林雪,2000,2000-06-23(中国香港),中国香港,汉语普通话 / 粤语,104分钟,104,,,,,喜剧 / 爱情,华少（刘德华 饰）是一个潇洒风流的电脑公司高层，公司里的一个小职员令他十分头痛。小职员命叫Kinki（郑秀文 饰），每当她的神经质发作便会到处清洁，她一心想得到美满的爱情，实际却令她失望。后来Kinki做了华少的助理，乐于帮助他人的她引来了很多事端，华少不得不每次都帮她解围。导致公司的人都以为他们有染。华少的前女友看不过眼，便决定介绍少年富豪Roger（黄浩然 饰）给Kinki认识，Roger对Kinki一见钟情，可是此时华少对Kinki表现出了过分的关心，让女友觉得他喜欢了Kinki。Roger逼着Kinki跟她结婚，Kinki打电话给华少求助，船在华少赶到前已经开出。 一天华少在公司的大堂里，看到了一个熟悉的身影……
