,url,电影名称,别名,全部名称,电影评分,评分人数,导演,编剧,主演,上映年份,首映日期,国家,语言,片长raw,片长,季数,集数,单集片长raw,单集片长,类型,剧情简介
0,https://movie.douban.com/subject/1310174/,,,,,,,,,,,,,,,,,,,,
1,https://movie.douban.com/subject/1431947/,雪孩子,雪孩子——小兔淘淘的故事,雪孩子 / 雪孩子——小兔淘淘的故事,9.0,77282,林文肖,嵇鸿,丁建华,1980,1980(中国大陆),中国大陆,汉语普通话,20分钟,20,,,,,动画 / 短片,窗外冰天雪地，小白兔的家却因有火非常温暖。兔妈妈发现吃的萝卜只剩很小的一个时，准备出门去找，小白兔吵嚷着也要去，兔妈妈担心它受冷感冒，要它安心呆在屋里烤火，小白兔觉得一个人在家很没有意思，兔妈妈想出堆个雪孩子陪它玩的办法。 雪孩子堆好后，母子两个又精心将它装扮了一番，小白兔有了漂亮的玩伴，不再喊着要跟妈妈一块去找萝卜。小白兔和雪孩子玩耍了好大一会，发现雪孩子很冷，便邀请它进屋烤火，雪孩子忙摆手，小白兔恍然大悟它是不怕冷的。后来，火烧着了小白兔的房子，雪孩子为救小白兔，奋不顾身地冲进了房子里。
2,https://movie.douban.com/subject/1296909/,虎口脱险 La grande vadrouille,横冲直撞出重围(港) / 大進擊(台) / Don't Look Now... We're Being Shot At!,虎口脱险 La grande vadrouille / 横冲直撞出重围(港) / 大進擊(台) / Don't Look Now... We're Being Shot At!,8.9,260161,热拉尔·乌里,热拉尔·乌里 / 达妮埃尔·汤普森 / 马塞尔·朱利安 / 乔治·塔贝 / 安德烈·塔贝,路易·德·菲奈斯 / 布尔维尔 / 克劳迪奥·布鲁克 / 安德丽·帕里西 / 科莱特·布罗塞 / 迈克·马歇尔 / 玛丽·马凯 / 皮埃尔·贝尔坦 / 本诺·施特岑巴赫 / 玛丽·杜布瓦 / 特里-托马斯 / 西戈德·拉普 / 赖因哈德·科尔德霍夫 / 赫尔穆特·施奈德 / 保罗·普雷博伊斯特 / 汉斯·迈尔 / 居伊·格罗索 / 米歇尔·莫多 / 彼得·雅各布 / 吕迪·勒努瓦 / 诺埃尔·达扎尔 / 皮埃尔·鲁塞尔 / 皮埃尔·巴斯蒂安 / 雅克·萨布隆 / 玛格·阿夫里尔 / 雅克·博杜因 / 加布里埃尔·戈班 / 保罗·梅塞 / 亨利·热内斯,1966,1966-12-08(法国),法国 / 英国,法语 / 英语 / 德语,132分钟,132,,,,,喜剧 / 战争,二战期间，英国一架飞机在执行轰炸任务中，被德军击中，几名英国士兵被迫跳伞逃生。他们约好在土耳其浴室见面，并用这次行动的代号“鸳鸯茶”作为接头暗号。 他们分别降落在法国巴黎德军占领区的不同地点。大胡子中队长雷金纳德被动物园管理员所救。而另外两名士兵，也分别在油漆匠奥古斯德 （布尔维尔 饰）和乐队指挥斯塔尼斯拉斯（路易·德·费内斯 饰）的帮助下掩藏好了。即便德军展开了全城的搜索，油漆匠、指挥和中队长还是在浴室顺利地会面，几经辗转，英国士兵终于接上了头。几个原本并不认识的人，就这样结成了生死同盟，与敌人展开了斗智斗勇的生死游戏。同时，也闹出了不少温情的笑话。他们用微薄的力量对抗严酷德军，险相迭生，滑稽搞笑，为了逃出虎口，共同战斗。
3,https://movie.douban.com/subject/1950525/,大灌篮 大灌籃,灌篮 / 功夫灌篮 / 灌篮高手 / Kung Fu Dunk,大灌篮 大灌籃 / 灌篮 / 功夫灌篮 / 灌篮高手 / Kung Fu Dunk,5.6,145714,朱延平,朱延平 / 林超荣 / 宥胜,周杰伦 / 陈柏霖 / 陈楚河 / 蔡卓妍 / 曾志伟 / 黄渤 / 吴孟达 / 吴宗宪 / 王刚 / 闫妮 / 刘畊宏 / 李立群,2008,2008-02-08(中国大陆) / 2008-02-07(中国香港/中国台湾),中国大陆 / 中国香港 / 中国台湾,汉语普通话 / 粤语,99分钟,99,,,,,喜剧 / 运动,世杰（周杰伦 饰）因为在外惹事而被功夫学校开除，他是一个弃婴，从来不曾离开过学校在外闯荡。虽然学校有着不学无术的校长、古怪的四大师叔，仍然是世杰的庇护所。在外流浪的第一晚，就因为把汽水罐扔进垃圾桶的本领被立叔（曾志伟 饰）看中——立叔生活潦倒，然而鬼点子多多，他帮世杰设计了一个“打篮球寻亲”的计划，利用志杰的特长在赚钱之余也名声远扬。然而篮球队是需要队长丁伟（陈柏霖 饰）许可才能进入，丁伟妹妹莉莉正是志杰暗恋的女孩，莉莉暗恋的却是中锋萧岚。世杰的天才让他轻松地进入篮球队，也让球队轻松地打进了大学篮球赛的冠军争夺赛。即将跟老对手李天——以前的战友、如今的敌手——交锋，世杰才明白丁伟的颓废不仅由于李天抢走了自己的女朋友，还在篮球场上让自己一败涂地。这不仅是一场篮球战，还是一场心理战。
4,https://movie.douban.com/subject/1438760/,东京爱情故事 東京ラブストーリー,Tokyo Love Story / 东京爱的故事,东京爱情故事 東京ラブストーリー / Tokyo Love Story / 东京爱的故事,9.4,155413,永山耕三 / 本间欧彦,坂元裕二 / 柴门文,铃木保奈美 / 织田裕二 / 江口洋介 / 有森也实 / 千堂秋穗,1991,1991-01-07(日本),日本,日语,,,,11,47分钟,47,爱情,从爱媛乡下来到大城市东京的广告代理店工作的永尾完治（织田裕二饰）忐忑地走出机场，迎接她的是公司女同事，海归女性赤名莉香（铃木保奈美饰）的笑颜与“丸子”的爱称。（日文中“完治”与“丸子”谐音。）老实的完治工作踏实，很快得到了莉香的表白。但他心中却有另一个女人。 同学会上， 完治与老同学关口里美（有森也实饰）、三上健一（江口洋介饰）相遇。完治发现自己暗恋的里美在与好友三上交往，苦闷的他不知道，三上只是怀着玩的心态与里美交往，实际上三上喜欢的是医学院的女学生长崎尚子（千堂秋穗饰）。 五个人的感情纠葛，东京城市下渴望爱的一个个灵魂。完治会选择热情奔放的莉香，还是传统女性的里美呢？
5,https://movie.douban.com/subject/1962116/,我在伊朗长大 Persepolis,茉莉人生(台) / 波斯波利斯,我在伊朗长大 Persepolis / 茉莉人生(台) / 波斯波利斯,8.7,126734,文森特·帕兰德 / 玛嘉·莎塔琵,玛嘉·莎塔琵 / 文森特·帕兰德,齐雅拉·马斯楚安尼 / 达尼埃尔·达里约 / 凯瑟琳·德纳芙 / 西蒙·阿布卡瑞安 / 加布里埃尔·洛普斯·贝尼茨 / 弗朗索瓦·杰罗斯梅 / 蒂莉·曼德布洛特 / 苏菲·艾崔 / 阿里耶·埃尔马莱 / 马蒂亚斯·姆利库斯 / 西恩·潘 / 吉娜·罗兰兹 / 马修·格克齐,2007,2007-05-23(戛纳电影节) / 2007-06-27(法国) / 2007-12-25(美国),法国 / 美国,法语 / 英语 / 德语 / 波斯语,96分钟,96,,,,,剧情 / 动画 / 传记,电影改编自伊朗女插画家Marjane Satrapi的同名漫画，以自传的形式讲述了自己的成长经历，反映了伊朗的社会变迁。 1979年之后，伊朗发起了伊斯兰教革命，社会动荡不安，革命的失败更使伊朗失去民主的希望，日渐保守，人民苦不堪言。九岁的Marjane早熟、敏感，她聪明地瞒过官方爪牙，迷上了西方朋克乐队和流行音乐，沉浸在自己的世界。 两伊战争爆发之后，伊朗的生活更加艰难，Marjane渐渐长大，越来越大胆的行为让父母担心不已，她14岁那年，被父母送到了奥地利上学。 在奥地利，Marjane身为一个伊朗人，不得不面对别人的歧视和自卑的情绪。当她终于克服了心理障碍，赢得大家认可的时候，爱情的伤痛和对家乡的思念，却使她决定回到父母身边。 此时的伊朗，依然经历着战火的洗礼，宗教对妇女生活的限制越发严苛，Marjane开始怀疑自己是否应该在这个充满专制的国度继续生活下去。
6,https://movie.douban.com/subject/3754946/,锦衣卫,14 Blades,锦衣卫 / 14 Blades,6.0,140073,李仁港,邝文伟 / 李仁港,甄子丹 / 赵薇 Wei Zhao / 吴尊 / 徐子珊 / 戚玉武 / 陈观泰 / 午马 / 洪金宝 / 罗家英 / 刘松仁,2010,2010-02-03(中国大陆),中国大陆 / 中国香港 / 新加坡,汉语普通话 / 粤语,112分钟,112,,,,,剧情 / 动作 / 惊悚 / 武侠 / 古装,明朝末年，皇帝昏庸，曾保家卫国屡建功勋的锦衣卫被奸佞利用，沦为暗杀工具，令世人闻风丧胆。因谋权篡位而被施以刖刑的庆亲王（洪金宝 饰）虽被流放塞北多年，然野心不死，暗中勾结大太监贾精忠（罗家英 饰），企图卷土重来。贾精忠在中土掀起一场腥风血雨，不愿苟从者格杀勿论。锦衣卫指挥史青龙（甄子丹 饰）在执行任务过程中因发现贾精忠阴谋而被追杀，身受重创后委身正义镖局以图保护玉玺。茫茫大漠，青龙在镖头之女乔花（赵薇 饰）以及天鹰帮帮主大漠判官（吴尊 饰）的帮助下准备阻止庆亲王与贾精忠的阴谋，此时，庆亲王义女——拥有绝世武功的脱脱（徐子珊 饰）身负追杀青龙的使命亦赶至雁门关……
7,https://movie.douban.com/subject/1937502/,追风筝的人 The Kite Runner,追风筝的孩子(港/台),追风筝的人 The Kite Runner / 追风筝的孩子(港/台),8.2,166126,马克·福斯特,戴维·贝尼奥夫 / 卡勒德·胡赛尼,赫立德·阿卜杜拉 / 阿托莎·利奥妮 / 肖恩·托布,2007,2007-10(芝加哥电影节) / 2008-01-11(美国),美国 / 中国大陆 / 英国 / 阿富汗,英语 / 达里语 / 普什图语 / 乌尔都语 / 俄语,128 分钟,128,,,,,剧情,2000年美国加利福利亚，知名作家阿富汗人Amir(Khalid Abdalla 饰)接到一个电话，将他带回了童年的岁月…… 1978年阿富汗喀布尔，Amir（Zekiria Ebrahimi 饰）是富家少爷，仆人Ali的儿子Hassan（Ahmad Khan Mahmoodzada 饰）是 他忠实的跟班与玩伴。二人参加了一场传统的斗风筝比赛，Amir经历了终身难忘的事情，两人的命运随之改变：Ali和Hassan离开了Amir家，音信全无；随着阿富汗战争的爆发，Amir和父亲移民到美国，过上了新的生活。 电话是父亲的老朋友Rahim（KhanShaun Toub 饰）打来的，希望Amir能够到阿富汗去找Hassan的儿子Sohrab (Ali Danish Bakhty Ari 饰)，等待Amir的，除了满目疮痍的家乡、不堪回首的往事，还有难以启齿的秘密。
8,https://movie.douban.com/subject/1298744/,十二猴子 Twelve Monkeys,未来总动员(台) / 12猴子 / 十二猴子军 / 十二只猴子,十二猴子 Twelve Monkeys / 未来总动员(台) / 12猴子 / 十二猴子军 / 十二只猴子,8.2,230207,特瑞·吉列姆,克里斯·马克 / 大卫·韦伯·皮普尔斯 / 珍妮特·皮普尔斯,布鲁斯·威利斯 / 玛德琳·斯托 / 布拉德·皮特 / 克里斯托弗·普卢默 / 大卫·摩斯 / 乔恩·塞达 / Joseph Melito / 迈克尔·禅斯 / 弗农·坎贝尔 / H. Michael Walls / Bob Adrian / 西蒙·琼斯 / Carol Florence / Bill Raymond / 欧内斯特·阿布巴 / Irma St. Paule / 乔伊佩里洛 / Bruce Kirkpatrick,1995,1995-12-08(纽约首映) / 1996-01-05(美国),美国,英语 / 法语,129分钟,129,,,,,科幻 / 悬疑 / 惊悚,公元2035年，人类被12只猴子军研制的一种病毒侵袭，大部分人类都在这场病毒灾难中死亡，只有少数人侥幸逃生，但也只能在阴暗的地下，苟且偷生。 科学家们决定派人穿越时光回到1996年追查12只猴子军的来历。囚徒詹姆斯·科尔(布鲁斯·威利斯 Bruce Willis 饰)被 挑选为志愿者。阴差阳错，科尔回到了1990年，当他向当时的人们描述未来的那场大灾难时，被当作精神病捉了起来并被医生凯瑟琳·雪莉（玛德琳·斯通 Madeleine Stowe 饰）诊断为精神分裂症。科尔在病友杰弗里·戈因斯帮助下逃脱，回到了未来。因为没查清12只猴子军的来历，科尔再次被派回了1996年。 科尔这次发现了12只猴子军的起源地在费城，他找到了医生凯瑟琳，二人一起展开了追查12只猴子军的冒险之旅!
9,https://movie.douban.com/subject/1293825/,漂亮女人 Pretty Woman,风月俏佳人(港) / 麻雀变凤凰(台),漂亮女人 Pretty Woman / 风月俏佳人(港) / 麻雀变凤凰(台),7.9,137052,盖瑞·马歇尔,J·F·劳顿,理查·基尔 / 朱莉娅·罗伯茨 / 拉尔夫·贝拉米 / 杰森·亚历山大 / 劳拉·圣吉亚科莫 / 阿莱克斯·海德-怀特 / 艾米·雅丝贝克 / 埃莉诺·多纳约 / 埃克托尔·埃利松多 / Judith Baldwin / Jason Randal / 比尔·阿普勒鲍姆 / Tracy Bjork / Gary Greene / 比伊·加洛 / 阿卜杜勒·萨拉姆·埃尔·拉扎克 / 汉克·阿扎利亚 / 拉里·哈金 / 朱莉·帕丽斯 / 琳达·古德弗 / Frank Campanella / 斯科特·马歇尔 / 帕特里克·里奇伍德 / 凯瑟琳·马歇尔 / 阿尔·萨皮恩扎 / 詹姆斯·帕特里克·斯图阿特 / 拉里·米勒 / 戴·扬 / R.C. Everbeck / Stacy Keach Sr. / Lucinda Crosby / Lloyd Nelson / 特雷西赖纳 / 汤姆·诺兰 / 约翰·大卫·卡森 / 阿姆齐·斯特里克兰 / Paul Bradley / 利欧·哈克福德 / 盖瑞·马歇尔 / Randall Rutledge / John Simone,1990,1990-03-23(美国),美国,英语,119分钟,119,,,,,喜剧 / 爱情,爱德华•刘易斯（李察•基尔 饰）是一个拥有百万身家的企业家。他潇洒迷人，但总是无法处理好与女人之间关系，他跟女友分手了。他到洛杉矶出差，晚上开着一辆借来的高级轿车进入了红灯区。由于迷失了方向，他向一名年轻漂亮的妓女薇薇安（茱丽娅•罗伯茨 饰）问路，薇薇安的活泼美丽吸引了他，他把薇薇安带到了酒店。爱德华爱上了薇薇安并极力想留下她，但碍于情面只能用钱做掩饰，让她在一周内充当爱德华的交际活动女伴。宴会上，薇薇安的魅力让爱德华醋意大发。此时薇薇安也发现自己爱上了爱德华，可是一周的时间马上要过去了，两个相爱的人又该何去何从？
