,url,电影名称,别名,全部名称,电影评分,评分人数,导演,编剧,主演,上映年份,首映日期,国家,语言,片长raw,片长,季数,集数,单集片长raw,单集片长,类型,剧情简介
0,https://movie.douban.com/subject/1304972/,太极旗飘扬 태극기 휘날리며,太极旗飘扬：生死有情(港) / 太极旗-生死兄弟(台) / 兄弟 / 战火兄弟情 / Brotherhood / Tae Guk Gi: The Brotherhood of War,太极旗飘扬 태극기 휘날리며 / 太极旗飘扬：生死有情(港) / 太极旗-生死兄弟(台) / 兄弟 / 战火兄弟情 / Brotherhood / Tae Guk Gi: The Brotherhood of War,8.3,86653,姜帝圭,姜帝圭 / 韩知勋,张东健 / 元斌 / 李恩珠 / 孔炯轸 / 崔岷植 / 郑太勋,2004,2004-02-06(韩国),韩国,韩语,148分钟,148,,,,,剧情 / 动作 / 战争,李镇泰（张东健饰）是生活在汉城的一个修鞋匠，一家人的生计就从修补鞋子的费用维持。虽然物质并不富裕，这却是一个十分温馨完整的家庭。妻子李英顺（李恩珠饰）和母亲开一间面馆，平日还要照顾下面的弟妹，弟弟李镇锡（元彬饰）是家中所有的希望，如今正在高中读书，考上大学是他的梦想，更是哥哥镇泰的寄托所在。 然而随着1950年朝鲜战争突然爆发，平静的生活很快被打乱。战火蔓延汉城，镇泰决定带着家人到大邱去生活，躲避战乱。但在中途，他们却被强行征入军队，押上了开往洛东江前线的列车。从此一家人四分五裂。而在战场上的镇泰只剩下一个愿望：不顾一切用生命保护弟弟，当听说只要获得国家勋章就可以让弟弟免役时，他便疯子般冲在战斗最前沿。然而残酷的战场加上弄人的命运，他们的生命轨迹发生了无可避免的改变。
1,https://movie.douban.com/subject/2003389/,葬礼上的死亡 Death at a Funeral,超完美告别,葬礼上的死亡 Death at a Funeral / 超完美告别,8.1,75053,弗兰克·奥兹,迪恩·克雷格,马修·麦克费登 / 凯莉·霍威 / 安迪·尼曼 / 艾文·布莱纳 / 黛西·唐洛范 / 艾伦·图代克 / 珍·爱舍 / 克里斯·马歇尔 / 鲁珀特·格雷夫斯 / 皮特·沃恩 / 托马斯 惠特利 / 皮特·艾甘 / 彼特·丁拉基 / Brendan O'Hea / Jeremy Booth,2007,2007-07-19(德国),英国 / 美国 / 德国 / 荷兰,英语,90 分钟,90,,,,,喜剧,丹尼尔（马修·麦克费登 Matthew Macfadyen 饰）是个久不得志的作家，而且一直生活在名作家哥哥罗伯特（拉珀特·格雷夫斯 Rupert Graves 饰）的阴影之下。默默担负赡养父母义务的他这次主办父亲的葬礼，却同样被哥哥喧宾夺主。 本来严肃而又神圣的葬礼更是被堂姐的未婚夫，错食了迷幻药的可怜虫西蒙（艾伦·图代克 Alan Tudyk 饰），搅得一团糟。然而更大的危机在后面，一个神秘的侏儒男子（彼特·丁拉基 Peter Dinklage 饰）现身了，带着毁坏父亲所有声名的证据对丹尼尔进行敲诈。原来丹尼尔的父亲是同性恋，这个秘密眼看就要在他死后被揭开。 在一团混乱中，葬礼断断续续的进行着。戏剧化的悲伤和幽默悄然向我们揭示葬礼的意义——带着挚爱的心情缅怀死者，也让生者将不如意的过去埋葬在葬礼上。
2,https://movie.douban.com/subject/1461964/,小兵张嘎,Zhang Ga the Soldier Boy,小兵张嘎 / Zhang Ga the Soldier Boy,7.9,41845,崔嵬 / 欧阳红樱,徐光耀,安吉斯 / 张莹 / 葛存壮 / 吴克勤 / 王澍,1963,1963(中国大陆),中国大陆,汉语普通话,101分钟,101,,,,,剧情 / 儿童 / 战争,抗日战争时期的河北白洋淀，调皮莽撞的少年张嘎（安吉斯）目睹奶奶为掩护八路军逃跑被日寇杀害后，只身来到县城要找到游击队排长罗金宝（张莹），好让他帮忙为奶奶报仇，哪想真遇见罗金宝时，他将对方当作了汉奸，闹了笑话。误会解除后，张嘎梦想成为一名小八路，并想拥有一把枪，结果因为太想得到枪，他不但在和胖墩（吴克勤）打赌时耍赖，还违反纪律将某次战斗中收缴到的真枪偷偷藏在了树上的鸟窝里，再闹笑话。 张嘎可没将笑话当笑话看，想不通的他约上胖墩又来到县城，要自个替奶奶报仇。在县城，张嘎遇到鬼子龟田（葛存壮）和胖翻译（王澍），一番斗智斗勇，两人没从张嘎身上捞得什么好处。一些列事情经历后，张嘎由鲁莽捣蛋的少年成长为真正的八路军小侦察员。
3,https://movie.douban.com/subject/2123510/,深海寻人,谜尸 / Missing,深海寻人 / 谜尸 / Missing,5.9,32039,徐克,徐克,李心洁 / 梁洛施 / 张震 / 郭晓东 / 梁家辉 / 张震岳 / 高振鹏,2008,2008-06-12(中国大陆),中国大陆 / 中国香港,粤语 / 汉语普通话,118分钟,118,,,,,剧情 / 爱情 / 惊悚 / 恐怖 / 奇幻,在每一个城市，深受精神困扰的人在100个里就占9个。精神科医生高静（李心洁 饰）在工作中凡事以病人的健康为重，深得同事喜欢。在书店她与一名男子擦身而过，男子买下她想买的摄影书，高静感觉有些奇妙。 小凯（梁洛施 饰）是高静的病人，从外地休假回来后带高静参加一个摄影展，高静意外地发现摄影中的正是潜水的自己，更意外的，摄影师正是那天在书店遇见的男子，也是小凯的哥哥——考古学家陈国栋（郭晓冬 饰）。国栋将那天买下的书送给高静，二人从此堕入爱河。 为了向高静求婚，国栋和高静、小凯前往与那国岛，潜入海底深处找出藏在那里的钻戒。谁知国栋出事了，只打捞起一具无头的男尸。高静由于太过悲痛而失去了关于那件意外的记忆，小凯对自己态度异常冷淡，高静寻求院长（梁家辉 饰）给自己做催眠，然而催眠之后幻觉更多。
4,https://movie.douban.com/subject/1292348/,洛城机密 L.A. Confidential,幕后嫌疑犯(港) / 铁面特警队(台) / 洛杉矶机密,洛城机密 L.A. Confidential / 幕后嫌疑犯(港) / 铁面特警队(台) / 洛杉矶机密,8.8,146047,柯蒂斯·汉森,詹姆斯·艾尔罗伊 / 布莱恩·海尔格兰德 / 柯蒂斯·汉森,凯文·史派西 / 罗素·克劳 / 盖·皮尔斯 / 詹姆斯·克伦威尔 / 金·贝辛格 / 丹尼·德维托 / 大卫·斯特雷泽恩 / 朗·瑞弗金 / 马特·麦考伊 / 保罗·吉尔福伊尔 / 保罗·塞甘蒂 / 伊丽莎白·格兰里 / 桑德拉·泰勒 / 史蒂夫·兰金 / 格拉汉姆·贝克尔 / 阿兰·格拉夫 / Symba Smith / 鲍勃·克莱德宁 / 安贝尔·史密斯 / 达雷尔·桑迪 / Michael Warwick / 西蒙·贝克 / 肖尼·弗里·琼斯 / 小托马斯·罗萨莱斯 / Shane Dixon / Norman Howell / 布莱安·莱利 / 约翰·马洪 / 托马斯·阿拉纳 / Michael McCleery / 杰克·康利 / 杰克·奈特 / 格温达·迪肯 / 因格·内哈斯 / 吉姆·梅茨勒 / 萨利姆·格兰特 / 马里索尔·帕迪拉·桑切斯 / 乔丹·马尔德 / Gregory White / 约翰·斯拉德 / 布琳达·巴克 / 艾琳·罗森 / 大卫·圣.詹姆斯 / Jeff Austin / 迪克·史迪威 / 威廉·博伊德 / 普里西拉·科里 / 朗达·弗莱明 / 黛博拉·蔻儿 / 艾伦·拉德 / 维罗妮卡·莱克 / Scott McKinley / 吉尔伯特·罗萨莱斯,1997,1997-09-19(美国),美国,英语,138分钟,138,,,,,剧情 / 悬疑 / 惊悚 / 犯罪,此片根据詹姆斯·艾罗瑞(James Ellroy)的小说改编，描写了1950年代，警界腐败、犯罪纵横的洛杉矶。 杰克·文森（凯文·斯派西 饰）是警界名人，常常出现在电视媒体中，与《嘘嘘报》的八卦记者狼狈为奸，靠制造和揭发明星的桃色新闻，赚取外快。艾德·艾斯力（盖·皮尔斯 饰 ）子承父业进入警局，野心勃勃，做事严谨，因为出卖同事而升职，受到大家的排挤；巴德·怀特（罗素·克劳 饰） 铁面无私，但是个性冲动，容易遭人利用。 一桩疑似抢劫的餐厅命案将这三个人联系起来。艾德·艾斯力找到了三个黑人嫌疑犯，并被判死刑结案，还因此收到上级嘉奖，但是他却在进一步的调查中发现案子并没有那么简单，他说服了杰克·文森和他一起继续追查；巴德·怀特对餐厅命案一直心存怀疑，他找到的线索也显示，案子根本没有想象中那么简单。 三个人迅速被卷入一个色情、毒品、谋杀、背叛、贪污、阴谋交织的网中，惊人的内幕......
5,https://movie.douban.com/subject/1293527/,美国X档案 American History X,野兽良民(港) / 美国历史档案 / 美国X历史,美国X档案 American History X / 野兽良民(港) / 美国历史档案 / 美国X历史,8.5,97564,托尼·凯耶,戴维·麦克纳,爱德华·诺顿 / 爱德华·福隆 / 比佛莉·德安姬罗 / 艾弗利·布鲁克斯,1998,1998-10-30,美国,英语,119 分钟,119,,,,,剧情 / 犯罪,德瑞克（爱德华•诺顿 Edward Norton 饰）的父亲在他很小的时候就被一名黑人毒贩射杀，从此给他幼小的心灵埋下了仇恨的种子。原来德瑞克功课很好，是老师眼中的好学生。但自从父亲遇难后，他就将一切心机都放在了对付有色人种上面。他积极组织起一帮白人青年混混，到处和有色人种对着干。一次，他射杀了两名黑人，因此入狱。 入狱后，德瑞克加入了一伙新纳粹的白人。后来，因工作关系他和一名黑人成了好友，他开始反思自己的过去。当他意欲脱离狱中新纳粹组织时，遭到了拳打脚踢。德瑞克出狱后，决心和以前自己组织的帮会脱离关系，带着弟弟远走他乡开始新的生活。
6,https://movie.douban.com/subject/1292347/,黑客帝国动画版 The Animatrix,骇客帝国动画版,黑客帝国动画版 The Animatrix / 骇客帝国动画版,8.8,49098,钟彼得 / 安德鲁·R·琼斯 / 川尻善昭 / 小池健 / 前田真宏 / 森本晃司 / 渡边信一郎,莉莉·沃卓斯基 / 川尻善昭 / 森本晃司 / 钟彼得 / 拉娜·沃卓斯基,大塚明夫 / 克莱顿·华生 / 帕梅拉·阿德龙 / 海蒂·布雷斯 / 特伦斯·卡森 / 美琳达·克拉克 / 奥利薇亚·阿波 / 戴恩·A·戴维斯 / 威廉·R·迪恩,2003,2003-06-03(美国),美国 / 日本,英语 / 日语,100分钟,100,,,,,剧情 / 动作 / 科幻 / 动画,《黑客帝国动画版》由9段以《黑客帝国》系列电影世界观为基础生发出的短片组成，各篇的角度与风格各异，制作班底汇聚了日本、美国、韩国三地的动画精英。《机器复兴》讲述了MATRIX的历史。机器人不堪人类恶劣对待，终于反抗并将人类化为能源。《少年故事》讲述一名少年突然收到来自网络的召唤，而大批黑衣人开始对他展开围捕。《虚拟程序》展示了一对男女在虚拟训练程序中的片断。《世界纪录》描写一位短跑运动员在接近突破人类极限时终被系统牢牢控制。《超越极限》叙述因为系统错误，平静的街区中出现了一片超常区域。《侦探故事》描写一位侦探被步步引领着试图摆脱系统的桎梏。《矩阵化》讲述一只机器人被人类捕获并驯化的故事。《终极战役》记录了一艘飞船毁灭的经过。
7,https://movie.douban.com/subject/1305179/,大丈夫,大丈夫之暗战男女 / Men Suddenly in Black,大丈夫 / 大丈夫之暗战男女 / Men Suddenly in Black,7.5,45158,彭浩翔,彭浩翔 / 叶念琛 / 李敏,曾志伟 / 陈小春 / 杜汶泽 / 贾宗超 / 毛舜筠 / 卢巧音 / 李茏怡 / 原子鏸 / 梁家辉 / 吴君如 / 詹瑞文,2003,2003-09-11(中国香港),中国香港,粤语 / 普通话,98 分钟,98,,,,,剧情 / 喜剧,一天，郭天佑(曾志伟饰)、李永祥(陈小春饰)、徐娇(杜汶泽饰)及洪国波(贾宗超饰) 四人突然不约而同离开工作岗位，换上他们绝少穿着的黑色西装，搭上毫不起眼的普通的士，准备进行一项神秘行动：14小时的“偷食”行动。原来他们的老婆或恋人——一众太太团结伴到泰国拜佛，因而获得彻底自由的14小时。 他们小心策划，部署一切，务求不会浪费时间。如期出发后，行动却意外频生、处处碰壁，大家开始怀疑意外并非偶然，而是有人暗中破坏，甚至怀疑四人中有告密者存在。与此同时，一辆神秘车子更是一直跟踪着他们。原来四人的太太女友突然折返，打算联手截击他们的“偷食”行动。 “偷食”行动能否如期进行，又将如何收场呢？
8,https://movie.douban.com/subject/1963070/,松鼠，坚果和时间机器 No Time for Nuts,松鼠穿越记 / 冰河世纪番外篇：松鼠，坚果和时间机器 / 冰川时代番外篇：鼠奎特穿越记,松鼠，坚果和时间机器 No Time for Nuts / 松鼠穿越记 / 冰河世纪番外篇：松鼠，坚果和时间机器 / 冰川时代番外篇：鼠奎特穿越记,8.7,37206,克里斯·雷纳德 / 麦克·特米尔,克里斯·雷纳德,克里斯·韦奇,2006,2006-09-14(新西兰),美国,,7分钟10秒,7,,,,,动画 / 短片,在一个飘雪的夜晚，松鼠斯克莱特（Scrat）拿着一枚坚果穿越冰原。在经过某处时，偶然发现冰下放出亮光。斯克莱特从里面挖出一个奇怪的机器，这个机器将它和坚果带到了中世纪。它拔出了石头中的宝剑，继而受到城堡中的乱箭攻击。混乱之中，斯克莱特又被带到了角斗场，飞驰的马车让它无处藏身。原来这个机器是一个时间机，斯克莱特被迫随着机器做起了不知终点的时间旅行，旅途中各种险情频发，但即便如此，斯克莱特对坚果仍是情有独钟，念念不忘…… 本片为动画片《冰河世纪2》的配套短片，并荣获2007年安妮奖最佳动画短片奖。
9,https://movie.douban.com/subject/1305703/,一声叹息,Sigh / 过着狼狈不堪的生活,一声叹息 / Sigh / 过着狼狈不堪的生活,7.6,45977,冯小刚,王朔,张国立 / 刘蓓 / 徐帆 / 傅彪 / 李诚儒 / 吴旭 / 修宗迪 / 高明 / 徐秀林 / 李文玲 / 王小柱 / 马军骧 / 赵毅维 / 王庆元,2000,2000-09-20(中国大陆),中国大陆,汉语普通话,111分钟,111,,,,,剧情 / 爱情 / 家庭,梁亚洲（张国立 饰）掉进了一个关系里。一方面他是宋晓英（徐帆 饰）的丈夫，一个可爱女儿的父亲；而另一方面，他却是李小丹（刘蓓 饰）的男朋友——他们在海南有一段浪漫的回忆。 当宋晓英知道了丈夫竟有婚外情，绝然离婚。然而顾念女儿年幼，两人决定先分居。梁亚洲觉得悲伤，因为他失 去了一个熟悉的亲人，然而他却也放不下另一边的柔情。 事情从宋晓英摔伤开始有了变化。梁亚洲那段时间一直留在家里服侍妻子，照顾女儿，经历过这些日子，他才切身体会到了当妻子的不容易。他和李小丹的来往也少了，而有一天，当宋晓英跟对面的李小丹平静谈起自己和丈夫多年的生活时，李小丹似乎明白了什么，她转身离去。这个家庭似乎又找回了幸福的时光。然而，一个电话却使一切都变得可疑……
