,url,电影名称,别名,全部名称,电影评分,评分人数,导演,编剧,主演,上映年份,首映日期,国家,语言,片长raw,片长,季数,集数,单集片长raw,单集片长,类型,剧情简介
0,https://movie.douban.com/subject/1994876/,马达加斯加2：逃往非洲 Madagascar: Escape 2 Africa,荒失失奇兵2(港) / 马达加斯加2(台),马达加斯加2：逃往非洲 Madagascar: Escape 2 Africa / 荒失失奇兵2(港) / 马达加斯加2(台),7.8,124186,埃里克·达尼尔 / 汤姆·麦格拉思,伊坦·柯亨 / 埃里克·达尼尔 / 汤姆·麦格拉思,本·斯蒂勒 / 克里斯·洛克 / 大卫·休默 / 贾达·萍克·史密斯 / 萨莎·拜伦·科恩 / 伯尼·麦克 / 亚历克·鲍德温 / 威廉姆·亚当斯,2008,2009-01-01(中国大陆) / 2008-11-07(美国),美国,英语 / 意大利语,89 分钟,89,,,,,喜剧 / 动作 / 动画 / 家庭 / 冒险,延续前一集的剧情，狮子亚历克斯（本·斯蒂勒 Ben Stiller 配音）、斑马马蒂（克里斯·洛克 Chris Rock 配音）、长颈鹿迈尔曼（大卫·休默 David Schwimmer 配音）、河马格洛里亚（贾达·萍克·史密斯 Jada Pinkett Smith 配音）以及企鹅们，为了能离开马达加斯加岛回到五光十色的纽约，对一架破旧的失事飞机进行维修改造，并成功起飞。当大家已经开始庆祝终于可以回到纽约时，飞机却意外降落，迫降到了非洲大草原上。在这儿，狮子亚历克斯终于见到了它的父母。但是由于生活习性上太多不一样，而且言行举止各异，使得这群纽约来的动物们显得格格不入。这群昔日纽约中央公园的动物明星们，在这野外艰难的环境中应该怎么办？虽然在这儿遇见了自己的同类，但因为习性不同，使得自己无法完全融入他们的群体。为了能融入环境，与同类们建立良好的关系，大家都是施展各种招式，笑料百出。
1,https://movie.douban.com/subject/1978369/,我的机器人女友 僕の彼女はサイボーグ,我的女友是机器人 / 我的机械人女友 / Cyborg Girl,我的机器人女友 僕の彼女はサイボーグ / 我的女友是机器人 / 我的机械人女友 / Cyborg Girl,7.6,165822,郭在容,郭在容,绫濑遥 / 小出惠介 / 阿井莉沙 / Naoko Niya / 蛭子能收 / 远藤宪一 / Horiken / 伊武雅刀 / 桐谷健太 / 小日向文世 / Kaito Kondô / 松本莉绪 / Sakura Mizuno / 纳谷六朗 / Yasuhiro Roppongi / 斋藤步 / 佐藤惠 / 田口浩正 / 竹中直人 / 田中圭 / 铃之助 / 吉高由里子 / 吉行和子,2008,2009-07-28(中国大陆) / 2008-05-31(日本),日本,日语,115 分钟,115,,,,,喜剧 / 动作 / 爱情 / 科幻,生日没有任何人祝福，这样过着寂寞生活的大学生次郎（小出惠介饰）在20岁生日那天突然遇到了生命中的那个“她”（绫瀨遥饰）。二人共渡了一个美好的夜晚。是夜，“她”从次郎的眼前消失了。一年后的生日，本以为还将回归寂寞生活的次郎再次遇到了“她”。这一次，“她”讲出了惊天的故事：“我是未来次郎你创造的机器人，回到过去来保护你免受灾难。”就这样，“她”住进了次郎家中，开始了与次郎的同居生活。灾难似乎没有离开次郎的意思，但次郎与她的感情已在其中萌发。爱与时间的感人故事，守护未来的约定，开始今天的生活。
2,https://movie.douban.com/subject/1300220/,莎翁情史 Shakespeare in Love,写我深情(港) / 恋爱中的莎士比亚,莎翁情史 Shakespeare in Love / 写我深情(港) / 恋爱中的莎士比亚,7.3,81653,约翰·马登,马克·诺曼 / 汤姆·斯托帕德,约瑟夫·费因斯 / 格温妮斯·帕特洛 / 杰弗里·拉什 / 朱迪·丹奇 / 汤姆·威尔金森 / 科林·费尔斯 / 本·阿弗莱克 / 鲁伯特·艾弗雷特,1998,1998-12-11,英国 / 美国,英语,123分钟,123,,,,,剧情 / 喜剧 / 爱情,伊丽莎白一世时期的英国，处处有风花雪月的娱乐活动，然而莎士比亚（约瑟夫•费因斯 Joseph Fiennes 饰）此时却陷入了创作的枯竭期。他笔下的《罗密欧与海盗之女阿丝》因此搁浅。薇拉夫人（格温妮斯•帕特洛 Gwyneth Paltrow 饰）的出现可谓一石激起千 层浪。她酷爱话剧，不顾女人不能登台的世俗观念，不惜女扮男装前来参演莎士比亚的戏剧。莎士比亚洞悉了薇拉夫人的秘密。他从她身上强烈感受到创作的灵感，闻出爱情来到的味道。二人共坠爱海。他笔下开始有了罗密欧与茱丽叶熠熠生辉的故事。好景不长，薇拉要嫁入一个贵族人家。莎士比亚的创作如有神助，感情却陷入无望。但他还在努力用笔，用真情，去改写这一切。
3,https://movie.douban.com/subject/1305903/,心慌方 Cube,异次元杀阵 / 立方体,心慌方 Cube / 异次元杀阵 / 立方体,7.9,219125,文森佐·纳塔利,André Bijelic / 文森佐·纳塔利 / 格雷姆·曼森,妮可·德波儿 / 妮基·瓜达尼 / 大卫·休莱特 / 安德鲁·米勒 / 朱利安·瑞钦斯 / 韦恩·罗布森 / 毛里斯·迪恩·温特,1997,1997-09-09(多伦多电影节),加拿大 / 美国,英语 / 德语 / 法语,90 分钟,90,,,,,科幻 / 悬疑 / 惊悚,警司昆廷（莫里斯•迪恩•温特Maurice Dean Wint 饰）、监狱专家兼传感器专家伦尼斯（维尼•罗宾逊 Wayne Robson 饰）、医生霍洛韦（尼基•瓜达尼 Nicky Guadagni 饰）、建筑师沃思（戴维•休利特 David Hewlett）、数学系的大学生利文（尼科勒•德搏尔 Nicole de Boer 饰）和身患孤独症的学者卡赞（安德鲁•米勒 Andrew Miller 饰），六个素不相识的人，一觉醒来后发现一同身处于由一个个形状相同的立方体组成的结构复杂的高度精密迷宫中！ 他们唯一的出路只有逃离这座迷宫，然而，一个个立方体尽管外貌相同，然而里面的机关却各不一样，复杂异常。依靠利文数学知识的推理，他们终于以为发现迷宫的运行规律，凭此一次次解开各个机关，迷宫的边缘近在眼前。 当他们正欲合力逃出迷宫之际，意外发生了。
4,https://movie.douban.com/subject/1417946/,成长的烦恼 第一季 Growing Pains Season 1,成长之痛 第一季 / 成长的烦恼,成长的烦恼 第一季 Growing Pains Season 1 / 成长之痛 第一季 / 成长的烦恼,9.5,54365,约翰·帕斯昆,尼尔·马林斯,艾伦·锡克 / 乔安娜·科恩斯 / 柯克·卡梅隆 / 杰瑞米·米勒 / 特里茜·古德 / 安德鲁·克尼格 / Jamie Abbott / K.C.马特尔 / Kirsten Dohring / Kelsey Dohring / Oliver Theess / 山姆·安德森 / 贝蒂·麦奎尔 / 瑞秋·雅各布斯 / 戈登·裘普 / 简·鲍威尔 / 罗伯特·洛克威尔 / 比尔·柯齐保尔 / 比尔·厄尔文 / James Marshall / 凯文·威克斯泰德 / 宾斯·莫洛克 / 乔迪·彼得森 / 克里斯托弗·布加德 / 埃文·阿诺德 / 肯尼斯·提加尔 / 希瑟·兰根坎普 / 帕特里卡·达博 / 凯瑟琳·弗里曼 / 黛博拉·怀特 / Julie Cobb / Kenny Morrison / 弗雷德·艾伯盖特 / 杰米·露娜 / 罗宾·西克 / Christa Denton / 丹尼斯·海斯伯特,1985,1985-09-24(美国),美国,英语,,,7,22,30分钟,30,喜剧 / 家庭,美国纽约长岛住着这样一家人。父亲杰森•西弗（艾伦•锡克饰）是一位心理医生。为了支持妻子玛姬•马龙•西弗（乔安娜•柯恩斯饰）重新回到记者的工作岗位，杰森毅然决定将心理诊所搬到自己的家里。而这样，他也有了更多的时间与他的三个孩子相处：15岁的大儿子迈克（柯克•卡梅隆饰）是十足的捣蛋鬼，不务正业的他经常让家里感到烦恼；14岁的二女儿凯萝（特蕾茜•格尔德饰）是优等生，但学习优秀的她似乎有些不食人间烟火；小儿子本（杰瑞米•米勒饰）是机灵鬼，有时与大人一样成熟的他实际还是一个9岁的孩子。杰森提倡的启发式教育，在这个家庭起到了极大的作用，一家人和睦相处。爱与成长的故事伴随着欢笑，这就是西弗一家的故事，成长的烦恼。
5,https://movie.douban.com/subject/1292704/,黄飞鸿之三：狮王争霸 黃飛鴻之三獅王爭霸,黄飞鸿3 / 黄飞鸿之狮王争霸 / Once Upon a Time in China III,黄飞鸿之三：狮王争霸 黃飛鴻之三獅王爭霸 / 黄飞鸿3 / 黄飞鸿之狮王争霸 / Once Upon a Time in China III,8.2,155043,徐克,徐克 / 张炭 / 陈天璇,李连杰 / 关之琳 / 莫少聪 / 熊欣欣 / 刘洵 / 庄域飞 / Jin Chiu / 葛存壮 / Tak-Yan Wong / 张春仲 / 孟瑾 / 李炳雷,1992,1992-12-24(中国台湾) / 1993-02-11(中国香港),中国香港 / 中国大陆,粤语 / 汉语普通话,112分钟,112,,,,,剧情 / 动作 / 武侠 / 古装,晚清末年，大清帝国摇摇欲倒。面对外敌来袭，慈禧太后鼓励民间习武抗敌。李鸿章为了逢迎太后，举办起一年一届的“狮王争霸”大赛。“狮王争霸”其实就是各们各派舞起狮子头，以武力争夺锦标。 “狮王争霸”的消息一传出，各大门派纷纷摩拳擦掌，暗中招兵买马。一时，京城门派冲突四起。黄飞鸿（李连杰 饰）上书李鸿章欲取消“狮王争霸”，无奈李鸿章没有理会。无奈之下，黄飞鸿只好亲自参加“狮王争霸”，阻止各门派的自相残杀。 “狮王争霸”终于开锣了！这天校场上尘土飞扬，各门派自造的形象各异、杀伤力极强的“狮子头”粉墨登场。黄飞鸿亲自率领鬼脚七等徒弟也赶到了……
6,https://movie.douban.com/subject/4133814/,线人 綫人,证人2之线人 / Beast Stalker 2: Informant / The Stool Pigeon,线人 綫人 / 证人2之线人 / Beast Stalker 2: Informant / The Stool Pigeon,7.4,146474,林超贤,吴炜伦 / 林超贤,谢霆锋 / 张家辉 / 桂纶镁 / 陆毅 / 苗圃 / 廖启智 / 钟舒漫 / 吴浩康 / 郭政鸿 / Rob Lok / 梁小冰,2010,2010-08-24,中国香港 / 中国大陆,粤语 / 汉语普通话,113分钟,113,,,,,剧情 / 动作 / 惊悚,为了侦破棘手案件，警方往往借助线人之手获取情报。然而在行动过程中，却常常有意无意置线人于危险之地。一年前，线人废噏（廖启智 饰）的悲惨下场让香港警察李沧东（张家辉 饰）的身心备受煎熬，表面的荣迁始终洗刷不掉铭刻其心中的罪恶感。而如今，他不得不再次与新的线人合作。这次，他找到了命运多舛的小混混何细鬼（谢霆锋 饰）。为了搭救身陷水火的妹妹，细鬼无奈接受了李沧东的任务，打入金行大盗华天（陆毅 饰）的团伙内部获取情报。 在细鬼的帮助下，警方掌握越来越多的证据，抓捕的罗网也渐渐收拢。与此同时，细鬼的境遇也愈加危险。一年前的悲剧似乎将再次重演，李沧东该如何选择……
7,https://movie.douban.com/subject/1305713/,嫁个有钱人 嫁個有錢人,Marry a Rich Man,嫁个有钱人 嫁個有錢人 / Marry a Rich Man,5.9,51872,谷德昭,谷德昭 / 陈宝竣 / 韦志豪 / 李敏 / 冯勉恒,郑秀文 / 任贤齐 / 林海峰 / 胡枫 / 卢巧音 / 汤盈盈 / 王合喜 / 雷颂德 / 谷德昭 / 张达明,2002,2002-02-07(中国香港),中国香港,粤语,93分钟,93,,,,,剧情 / 喜剧 / 爱情 / 奇幻,阿Mi（郑秀文饰）的爸爸开了一间小小的煤气店，所以她需要帮助父亲打理生意，每天都要扛着重重煤气罐送货。看着流星滑过，许愿能嫁个有钱人，突然从天上掉下来一本叫《玻璃鞋》的书。原本并不富裕的阿Mi决定乘坐头等机舱希望能在飞往米兰的时候遇上有钱男子，遇到了学识渊博的富家子弟阿诞（任贤齐饰），两人在米兰共渡了一段浪漫时光，可是阿诞突然就失踪了。 阿Mi很不甘心，决定要把阿诞找回来。阿Mi感到沮丧的时候，她的一个老朋友如今是城中的钻石王老五，并且找回阿Mi是决定跟她求婚的，可是阿Mi已经爱上了偶遇的阿诞。 但她却不知道，其实阿诞也有不可告人的秘密。
8,https://movie.douban.com/subject/1296253/,没完没了,Sorry Baby,没完没了 / Sorry Baby,7.7,102137,冯小刚,王小柱 / 白铁军,葛优 / 吴倩莲 / 傅彪 / 徐帆 / 刘蓓 / 刘威 / 韩童生 / 秦焰 / 何冰 / 张涵予 / 丁志城 / 张秋芳 / 孙红雷 / 王中磊 / 卡迪琳娜,1999,1999-12-15(北京首映),中国大陆,汉语普通话,88分钟,88,,,,,剧情 / 喜剧,韩冬（葛优 饰）是一个出租车司机，他生性老实，把车常年包给旅行社老板阮大伟（傅彪 饰）做生意。然而阮大伟却是个奸商，长期拖欠韩冬包租费。 韩冬的姐姐发生了意外，变成了植物人躺在医院，需要大笔医疗费。无计可施的韩冬决定绑架阮大伟的女友小芸（吴倩莲 饰），威胁他还钱。小芸十分厌恶这个粗俗的歹徒，然而当她听阮大伟说，宁可韩冬撕票和不给钱的时候，她心里失望透顶。 韩冬为了追回欠款，小芸为了报复阮大伟，两人共同商议上演了一出戏来捉弄阮大伟。阮大伟气急败坏，发誓不会放过韩冬。老实巴交的韩冬被吓怕了。不料小芸得知了韩冬大费周章只为救姐姐，打心里喜欢上了这个其貌不扬的老实人。
9,https://movie.douban.com/subject/3212120/,九降风 九降風,Winds of September,九降风 九降風 / Winds of September,7.4,68842,林书宇,林书宇 / 蔡宗翰,凤小岳 / 张捷 / 初家晴 / 林祺泰 / 沈威年 / 王柏杰 / 邱宇辰 / 纪培慧 / 李岳承 / 曾志伟 / 陆弈静,2008,2008-06-06(中国台湾),中国台湾,汉语普通话,107分钟,107,,,,,剧情,台湾竹东某高中迎来1996~1997学年，该校不同年级的7名男生——即将毕业的郑希彦（凤小岳）、汤启进（张捷）、林敬超（林祺泰），刚入校门的谢志昇（邱翊程）、黄正翰（李岳承），不上不下的李曜行（王柏杰）、林博助（沈威年）——也因共同热爱棒球，迎来他们的友谊。除到职棒联赛现场高声支持所爱球员，他们还常在一起做只有青春少年人才爱做、会做的事，因之没少受教官责罚。 中心人物郑希彦最大本领是泡马子，他虽有同班同学黄芸晴（初家晴）作女友，却仍在与兄弟们游玩时搭讪偶遇的女孩。与他走得最近的是汤启进与林敬超，前者与他共用一个呼机，后者常做帮他整理房间之类事情。谢志昇与黄正翰看来更像乖仔，他们常被班长沈培馨（纪培慧）相劝与“坏人”保持距离。李曜行与林博助则是，一个对前途满不在乎把兄弟情看作首位，一个总是担心会被退学。 7人如上述般共度过诸多专属他们的简单却多彩的青春日子。某晚，郑希彦从摩托车上摔下，不久昏迷不醒，在他静静躺在医院的时日，他的众兄弟开始接受友谊的考验及成长的洗礼。
10,https://movie.douban.com/subject/1304056/,茜茜公主 Sissi,我爱西施(台) / 女王的少女时代 / 茜西,茜茜公主 Sissi / 我爱西施(台) / 女王的少女时代 / 茜西,8.5,111737,恩斯特·马里施卡,恩斯特·马里施卡,罗密·施耐德 / 卡尔海因茨·伯姆 / 玛格达·施奈德 / 乌塔·弗朗茨 / 古斯塔夫·克努特,1955,1955-12-22(西德),奥地利,德语,102 分钟,102,,,,,剧情 / 喜剧 / 爱情 / 历史,《茜茜公主》系列影片包括《茜茜公主》、《年轻的皇后》和《皇后的命运》三部曲。作为系列影片的首部，该片讲述了茜茜公主（罗密·施奈德 Romy Schneider 饰）与奥地利国王弗兰兹·约瑟夫（卡尔亨兹·伯恩 Karlheinz Böhm 饰）邂逅相恋的故事。 茜茜出生在 巴伐利亚的贵族之家，她美艳动人，性格活泼。姨妈苏菲打算安排自己的儿子，即奥地利王位继承人弗兰兹，在他的生日庆典上与茜茜的姐姐海伦订婚。母亲和姐姐带着茜茜赴奥地利参加庆典，调皮的她偷偷溜出去钓鱼，不料却与英俊的国王弗兰兹相遇。茜茜动人的微笑深深击中弗兰兹，让他彻底爱上了天真纯情的茜茜，并不顾一切违背母亲苏菲的旨意，在生日庆典上宣布茜茜才是自己的皇后。虽然有情人终成眷属，但这段浪漫纯真的爱情却是刚刚面临考验。
