epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.21610738337039948	0.04684640094637871	0.2201375726824966	0.19731543958187103	0.082125224173069	0.21054357633683282
20.0	0.2747204005718231	0.06041831150650978	0.2857297657257007	0.240715891122818	0.1043265089392662	0.2647566371877361
30.0	0.28993290662765503	0.06472814083099365	0.30300602959085066	0.24921701848506927	0.10900295525789261	0.27686618101983324
40.0	0.2890380620956421	0.06543432921171188	0.3007935466147033	0.25033560395240784	0.10945191979408264	0.27704432301196386
50.0	0.2872483432292938	0.0638851597905159	0.29614538020728814	0.24787472188472748	0.10906942188739777	0.2732583221238447
60.0	0.2805369198322296	0.06223667412996292	0.2897692044871813	0.24362416565418243	0.10591031610965729	0.2679979076163976
70.0	0.272483229637146	0.06039506196975708	0.2792187043726319	0.24295303225517273	0.10610269010066986	0.263318838428713
80.0	0.2684563994407654	0.0592605322599411	0.276192271244702	0.23624160885810852	0.10456608980894089	0.25846251258418645
90.0	0.26756149530410767	0.05884983390569687	0.27477858267775096	0.23914986848831177	0.105732262134552	0.2595994805841185
100.0	0.25906041264533997	0.05727950483560562	0.27128342250593246	0.2393735945224762	0.10399257391691208	0.2604048755352856
110.0	0.25637584924697876	0.05667433515191078	0.2672293918751958	0.23557047545909882	0.10162623971700668	0.25563186041448177
120.0	0.2612975537776947	0.05655629187822342	0.2696138665228261	0.2328859269618988	0.10069810599088669	0.25366030855610333
130.0	0.25771814584732056	0.05519105866551399	0.2653535333030761	0.2302013486623764	0.09902240335941315	0.24995219665462265
140.0	0.2514541447162628	0.054188765585422516	0.2627842767039271	0.22863535583019257	0.09763219952583313	0.24942025965417447
