epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.21968680620193481	0.04859788715839386	0.2326433957959021	0.1970917135477066	0.084971584379673	0.2181193629450553
20.0	0.28680092096328735	0.06459379196166992	0.30169305559919385	0.24876956641674042	0.10957704484462738	0.2771136626787565
30.0	0.28993290662765503	0.06342775374650955	0.30659644002255776	0.25369128584861755	0.11118185520172119	0.28282950879160085
40.0	0.2885906398296356	0.06227276474237442	0.3042111634747092	0.25436240434646606	0.11179294437170029	0.28199182481144186
50.0	0.28008952736854553	0.06099991127848625	0.2942031393360827	0.24586127698421478	0.10758472234010696	0.27185490008291135
60.0	0.27337807416915894	0.0584133081138134	0.2883021165572509	0.24183446168899536	0.10676982998847961	0.26743717018805285
70.0	0.2693512439727783	0.058414027094841	0.2824459361303696	0.23557046055793762	0.1034872978925705	0.26110233926563736
80.0	0.2626398503780365	0.057910144329071045	0.2728394746582277	0.23042505979537964	0.09946005046367645	0.2539665722631048
90.0	0.26353469491004944	0.05705367028713226	0.2712892773482379	0.22975391149520874	0.1007528230547905	0.2512647049409867
100.0	0.254138708114624	0.0562477633357048	0.263332237329415	0.23064877092838287	0.10114846378564835	0.25003952906115995
110.0	0.2501118779182434	0.055180422961711884	0.2598625518566321	0.22102908790111542	0.09483285248279572	0.24229709979545783
120.0	0.247427299618721	0.05380037799477577	0.25448957184171084	0.22080537676811218	0.09390422701835632	0.23918205869022816
